----------------------------------------------------
*** WARNING ***
Don't use the item ID for anything "proper"!!
It's provided here for completeness's sake, it's different in every world.
----------------------------------------------------
Mod name, Registry name, Item ID, Display name, Tags
----------------------------------------------------
Aquaculture 2, aquaculture:acacia_fish_mount, 1779, Acacia Fish Mount, 
Aquaculture 2, aquaculture:algae, 1724, Algae, aquaculture:tackle_box_green
Aquaculture 2, aquaculture:arapaima, 1753, Arapaima, minecraft:fishes
Aquaculture 2, aquaculture:arapaima_bucket, 1811, Bucket of Arapaima, 
Aquaculture 2, aquaculture:arrau_turtle, 1765, Arrau Turtle, aquaculture:turtle
Aquaculture 2, aquaculture:arrau_turtle_spawn_egg, 1773, Arrau Turtle Spawn Egg, 
Aquaculture 2, aquaculture:atlantic_cod, 1732, Atlantic Cod, minecraft:fishes
Aquaculture 2, aquaculture:atlantic_cod_bucket, 1790, Bucket of Atlantic Cod, 
Aquaculture 2, aquaculture:atlantic_halibut, 1735, Atlantic Halibut, minecraft:fishes
Aquaculture 2, aquaculture:atlantic_halibut_bucket, 1793, Bucket of Atlantic Halibut, 
Aquaculture 2, aquaculture:atlantic_herring, 1736, Atlantic Herring, minecraft:fishes
Aquaculture 2, aquaculture:atlantic_herring_bucket, 1794, Bucket of Atlantic Herring, 
Aquaculture 2, aquaculture:bayad, 1740, Bayad, minecraft:fishes
Aquaculture 2, aquaculture:bayad_bucket, 1798, Bucket of Bayad, 
Aquaculture 2, aquaculture:birch_fish_mount, 1777, Birch Fish Mount, 
Aquaculture 2, aquaculture:blackfish, 1733, Blackfish, minecraft:fishes
Aquaculture 2, aquaculture:blackfish_bucket, 1791, Bucket of Blackfish, 
Aquaculture 2, aquaculture:bluegill, 1745, Bluegill, minecraft:fishes
Aquaculture 2, aquaculture:bluegill_bucket, 1803, Bucket of Bluegill, 
Aquaculture 2, aquaculture:bobber, 1699, Bobber, aquaculture:bobber
Aquaculture 2, aquaculture:boulti, 1741, Boulti, minecraft:fishes
Aquaculture 2, aquaculture:boulti_bucket, 1799, Bucket of Boulti, 
Aquaculture 2, aquaculture:box, 1721, Box, 
Aquaculture 2, aquaculture:box_turtle, 1764, Box Turtle, aquaculture:turtle
Aquaculture 2, aquaculture:box_turtle_spawn_egg, 1772, Box Turtle Spawn Egg, 
Aquaculture 2, aquaculture:brown_shrooma, 1756, Brown Shrooma, minecraft:fishes
Aquaculture 2, aquaculture:brown_shrooma_bucket, 1814, Bucket of Brown Shrooma, 
Aquaculture 2, aquaculture:brown_trout, 1746, Brown Trout, minecraft:fishes
Aquaculture 2, aquaculture:brown_trout_bucket, 1804, Bucket of Brown Trout, 
